,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
0,0_0,objective,49.06212740949407,1.0,0,2000,49.06212740949407,0,"GP, online only"
1,0_1,objective,58.10297262911522,1.0,0,2000,58.10297262911522,0,"GP, online only"
2,0_2,objective,33.79083869794181,1.0,0,2000,33.79083869794181,0,"GP, online only"
3,0_3,objective,36.46295886461396,1.0,0,2000,36.46295886461396,0,"GP, online only"
4,0_4,objective,43.15714025665494,1.0,0,2000,43.15714025665494,0,"GP, online only"
5,1_0,objective,67.40334568178366,1.0,1,10000,67.40334568178366,0,"GP, online only"
6,2_0,objective,74.84208148508888,1.0,2,10000,74.84208148508888,0,"GP, online only"
7,3_0,objective,72.3771841845586,1.0,3,10000,72.3771841845586,0,"GP, online only"
8,4_0,objective,66.69968987787007,1.0,4,10000,66.69968987787007,0,"GP, online only"
9,5_0,objective,83.8942747738314,1.0,5,10000,83.8942747738314,0,"GP, online only"
10,6_0,objective,92.15906387068902,1.0,6,10000,92.15906387068902,0,"GP, online only"
11,7_0,objective,92.10323845026777,1.0,7,10000,92.10323845026777,0,"GP, online only"
12,8_0,objective,95.07434199217549,1.0,8,10000,95.07434199217549,0,"GP, online only"
13,9_0,objective,90.03243575351414,1.0,9,10000,90.03243575351414,0,"GP, online only"
14,10_0,objective,90.25915383020347,1.0,10,10000,90.25915383020347,0,"GP, online only"
15,11_0,objective,95.67671410263952,1.0,11,10000,95.67671410263952,0,"GP, online only"
16,12_0,objective,85.40859359387716,1.0,12,10000,85.40859359387716,0,"GP, online only"
17,13_0,objective,93.83586493439653,1.0,13,10000,93.83586493439653,0,"GP, online only"
18,14_0,objective,91.62739686794242,1.0,14,10000,91.62739686794242,0,"GP, online only"
19,15_0,objective,97.12970533284935,1.0,15,10000,97.12970533284935,0,"GP, online only"
20,16_0,objective,98.70536370503305,1.0,16,10000,98.70536370503305,0,"GP, online only"
21,17_0,objective,94.05526812345195,1.0,17,10000,94.05526812345195,0,"GP, online only"
22,18_0,objective,96.91942970818589,1.0,18,10000,96.91942970818589,0,"GP, online only"
23,19_0,objective,96.00009269587834,1.0,19,10000,96.00009269587834,0,"GP, online only"
24,20_0,objective,94.20835067049423,1.0,20,10000,94.20835067049423,0,"GP, online only"
0,0_0,objective,35.06821975524108,1.0,0,2000,35.06821975524108,1,"GP, online only"
1,0_1,objective,51.14997724790467,1.0,0,2000,51.14997724790467,1,"GP, online only"
2,0_2,objective,71.52603110042386,1.0,0,2000,71.52603110042386,1,"GP, online only"
3,0_3,objective,66.37575493229541,1.0,0,2000,66.37575493229541,1,"GP, online only"
4,0_4,objective,34.44862175532671,1.0,0,2000,34.44862175532671,1,"GP, online only"
5,1_0,objective,104.37215809160669,1.0,1,10000,104.37215809160669,1,"GP, online only"
6,2_0,objective,100.10613839551372,1.0,2,10000,100.10613839551372,1,"GP, online only"
7,3_0,objective,97.15575710610979,1.0,3,10000,97.15575710610979,1,"GP, online only"
8,4_0,objective,107.81097731540383,1.0,4,10000,107.81097731540383,1,"GP, online only"
9,5_0,objective,108.77540747834264,1.0,5,10000,108.77540747834264,1,"GP, online only"
10,6_0,objective,105.68613510041382,1.0,6,10000,105.68613510041382,1,"GP, online only"
11,7_0,objective,98.64236166794569,1.0,7,10000,98.64236166794569,1,"GP, online only"
12,8_0,objective,106.67345097244834,1.0,8,10000,106.67345097244834,1,"GP, online only"
13,9_0,objective,102.34707581659369,1.0,9,10000,102.34707581659369,1,"GP, online only"
14,10_0,objective,105.90802937442348,1.0,10,10000,105.90802937442348,1,"GP, online only"
15,11_0,objective,106.69579505087012,1.0,11,10000,106.69579505087012,1,"GP, online only"
16,12_0,objective,110.27738027739146,1.0,12,10000,110.27738027739146,1,"GP, online only"
17,13_0,objective,109.66282162914894,1.0,13,10000,109.66282162914894,1,"GP, online only"
18,14_0,objective,107.53019564170464,1.0,14,10000,107.53019564170464,1,"GP, online only"
19,15_0,objective,102.28908019591023,1.0,15,10000,102.28908019591023,1,"GP, online only"
