k0_1D,S_1D,k0_2D,S_2D
11.305082170492575,4.13296351205094,2.7182859943189515,49.9999780003598
11.95127225638269,4.76612565424328,2.71828985762532,49.9999605277007
13.946089595245645,8.17141821996825,2.71828610025904,49.9999778589438
15.576145975335095,6.77052101084529,2.718285723699269,49.9999795750889
15.094327890377158,6.26232936019858,2.7182858864650856,49.9999785446846
17.230396468547188,7.62465006714652,2.7182877962078353,49.9999687434231
20.02579215777425,8.40621892440781,2.718286060507422,49.9999780469856
21.120264598273803,9.20079378655158,2.7182898336421752,49.9999605739059
790.4599833624663,49.999984075838,2.7183195498722057,49.9998102512669
32.82436130938358,15.007631106667,2.7182859007035756,49.9999781192626
19.39815668381069,7.96953676162803,2.71829933668922,49.9999229872941
24.640711252470773,11.2003423493735,2.7182956965688203,49.9999346130314
19.93561519683081,8.22561441376824,2.7182859171634215,49.9999783893067
20.331737460541284,8.49595913816216,2.7182859293564565,49.999978323224
24.562929636698822,11.108444514754,2.718287058558354,49.9999726623188
20.45554062244675,8.53365864923891,2.7182869080097807,49.9999730466335
20.87658598751205,8.89328254788426,2.7182874663855747,49.9999700448535
20.931210961902416,8.87859168126117,2.718301601369221,49.9999214934508
17.722768863343397,6.02716077388472,2.7182888825449947,49.9999610260881
20.741553897683538,8.72872488683718,2.7182878481698096,49.9999687720327
16.665089774642418,8.00637198874341,2.718290338771475,49.9999558157497
20.859026958382373,8.28008624532996,2.7182858064837374,49.9999790627432
23.380086503536507,9.53978957146273,2.718286954971286,49.9999733060272
22.003421293374164,8.74377814014063,2.718291080426052,49.9999545543659
42.76337849299465,13.5838749816391,2.71828593428229,49.9999782953947
57.922853179859715,15.5800327486272,2.7182862473469998,49.9999763888942
90.04646557928035,18.6075401336403,2.7182860269863616,49.999978098857
32.45422577038506,8.79470215791829,2.718285943158091,49.9999782704884
60.66540321072399,14.9302289641507,2.7182880222583745,49.9999712733178
67.08248450634274,15.7102161731857,2.7182878381931497,49.9999674369669
79.61594901225007,16.5717003598464,2.7182861201600472,49.9999774099644
92.78735404069843,17.7936506595305,2.7182859646524755,49.9999781479392
70.05301365491925,15.2988849206074,2.718286101457451,49.9999776185884
145.19793093623076,21.1486758030318,2.7182862939480223,49.9999782192119
122.49947925615338,19.915465926498,2.7182860512481786,49.9999778125827
90.01964235273611,17.3396661174505,2.718286179832082,49.9999768337557
95.43426147823153,17.9677059195858,2.718288296007063,49.9999654553099
37.21531444198272,8.5211005123355,2.7182862080512096,49.9999771531757
58.38946812295889,12.8343720356864,2.71828611510814,49.9999772705869
77.40697421607763,14.9325797039039,2.718286943191481,49.9999732532695
49.53420401992602,10.6511995796148,2.7182864627015784,49.9999756826506
90.60353737965394,16.8440782598459,2.7182887952963224,49.999961912546
83.72394697929882,16.1811573983156,2.7182883905435866,49.9999651963863
60.24848528538973,12.9756877410999,2.7182883597256713,49.999965458869
214.61888067081097,23.673855783471,2.7182914945568597,49.9999451374273
55.51126257525383,9.62922080786892,2.718286014199435,49.9999781342032
31.77601478304477,5.26748159713031,2.7182860618636293,49.9999777625208
52.50709217109645,8.76755425542314,2.7182880540853143,49.9999657412634
118.05985498089528,15.5796945998079,2.718286245467386,49.9999766505099
60.88239423392046,9.85206389311645,2.7182858660603264,49.9999787800337
101.72710305047538,13.1882456809452,2.718286043334949,49.9999777107321
68.4464432991039,10.3209291512879,2.7182881859536567,49.9999659193616
120.5682387846583,14.4321809621982,2.718286038217449,49.9999777389751
62.83442044452541,9.61993437218583,2.7182878215617134,49.9999673543463
47.59617425994188,7.71778676846534,2.7182859582612413,49.9999781486743
78.33103000521866,11.2585800207556,2.718286788156871,49.999972716886
48.288190408376565,7.69684661379144,2.7182879042119357,49.9999664863557
52.61220218222032,8.25672310072887,2.7182858532041667,49.9999783573006
226.04367872695116,18.0346633621763,2.7182859393762215,49.9999778432885
79.76153622039992,11.0013386272814,2.718286202967253,49.999976871598
71.914905663216,10.3326632912346,2.7182863129929062,49.9999757712524
92.9603165862751,11.783207553225,2.7183141535560886,49.9998288230933
44.963515331323386,7.08010429423879,2.718286906264858,49.9999714971346
22.856315671412517,1.1034646788229,2.7182855254007676,49.9999804908075
54.03942648442028,8.18685412381974,2.718285819348705,49.9999790897202
152.7349006061268,14.4105031836409,2.718286008918893,49.9999779012589
271.52160545704953,17.6985724271702,2.718286827965828,49.9999724829112
28.23862743539274,3.0809658060627,2.718285984624103,49.9999776425937
84.79616509533078,10.5748556888806,2.7182879620587066,49.9999663584547
84.79615543443046,10.574855108042,2.718288028764189,49.9999658172778
30.97863093880253,3.44688979073557,2.718288018265644,49.9999663902288
161.44926718424065,14.5946264282225,2.718286161700597,49.9999773313877
93.4241674535751,11.2062622363625,2.718286048522037,49.9999777382953
