,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull,rep,runner
0,0_0,objective,37.989666008968214,1.0,0,2000,37.989666008968214,0,MTGP
1,0_1,objective,59.50455416023494,1.0,0,2000,59.50455416023494,0,MTGP
2,0_2,objective,54.08783627706231,1.0,0,2000,54.08783627706231,0,MTGP
3,0_3,objective,37.287194330378284,1.0,0,2000,37.287194330378284,0,MTGP
4,0_4,objective,62.191257823668614,1.0,0,2000,62.191257823668614,0,MTGP
5,1_0,offline_objective,32.53418436527993,1.0,1,333,32.53418436527993,0,MTGP
6,1_1,offline_objective,47.50572413342983,1.0,1,333,47.50572413342983,0,MTGP
7,1_2,offline_objective,48.736256471513016,1.0,1,333,48.736256471513016,0,MTGP
8,1_3,offline_objective,32.0239800589063,1.0,1,333,32.0239800589063,0,MTGP
9,1_4,offline_objective,38.645265615048594,1.0,1,333,38.645265615048594,0,MTGP
10,1_5,offline_objective,48.57385257344121,1.0,1,333,48.57385257344121,0,MTGP
11,1_6,offline_objective,52.894469335335536,1.0,1,333,52.894469335335536,0,MTGP
12,1_7,offline_objective,49.04759257300423,1.0,1,333,49.04759257300423,0,MTGP
13,1_8,offline_objective,48.61311898210276,1.0,1,333,48.61311898210276,0,MTGP
14,1_9,offline_objective,21.899311246098783,1.0,1,333,21.899311246098783,0,MTGP
15,1_10,offline_objective,34.916738358592156,1.0,1,333,34.916738358592156,0,MTGP
16,1_11,offline_objective,36.505567222621416,1.0,1,333,36.505567222621416,0,MTGP
17,1_12,offline_objective,39.878987984828846,1.0,1,333,39.878987984828846,0,MTGP
18,1_13,offline_objective,23.718156529799447,1.0,1,333,23.718156529799447,0,MTGP
19,1_14,offline_objective,36.286570483924464,1.0,1,333,36.286570483924464,0,MTGP
20,1_15,offline_objective,54.58028349073445,1.0,1,333,54.58028349073445,0,MTGP
21,1_16,offline_objective,20.411731257571358,1.0,1,333,20.411731257571358,0,MTGP
22,1_17,offline_objective,52.16724779346905,1.0,1,333,52.16724779346905,0,MTGP
23,1_18,offline_objective,45.63331389696689,1.0,1,333,45.63331389696689,0,MTGP
24,1_19,offline_objective,24.919895288803126,1.0,1,333,24.919895288803126,0,MTGP
25,1_20,offline_objective,22.88187104893256,1.0,1,333,22.88187104893256,0,MTGP
26,1_21,offline_objective,38.09729897033928,1.0,1,333,38.09729897033928,0,MTGP
27,1_22,offline_objective,44.84355423385329,1.0,1,333,44.84355423385329,0,MTGP
28,1_23,offline_objective,43.47801097057657,1.0,1,333,43.47801097057657,0,MTGP
29,1_24,offline_objective,47.262306553035366,1.0,1,333,47.262306553035366,0,MTGP
30,1_25,offline_objective,35.50702095685064,1.0,1,333,35.50702095685064,0,MTGP
31,1_26,offline_objective,39.82037148344182,1.0,1,333,39.82037148344182,0,MTGP
32,1_27,offline_objective,25.147154307772755,1.0,1,333,25.147154307772755,0,MTGP
33,1_28,offline_objective,34.045740949312645,1.0,1,333,34.045740949312645,0,MTGP
34,1_29,offline_objective,41.47290853915665,1.0,1,333,41.47290853915665,0,MTGP
35,2_0,offline_objective,51.94423015468227,1.0,2,2500,51.94423015468227,0,MTGP
36,2_1,offline_objective,41.29383301354363,1.0,2,2500,41.29383301354363,0,MTGP
37,2_2,offline_objective,47.58129662215292,1.0,2,2500,47.58129662215292,0,MTGP
38,2_3,offline_objective,51.21003502482443,1.0,2,2500,51.21003502482443,0,MTGP
39,2_1,objective,56.30780666673016,1.0,3,10000,56.30780666673016,0,MTGP
40,4_0,offline_objective,54.990950728420636,1.0,4,2500,54.990950728420636,0,MTGP
41,4_1,offline_objective,45.60651859058494,1.0,4,2500,45.60651859058494,0,MTGP
42,4_2,offline_objective,49.01357534215831,1.0,4,2500,49.01357534215831,0,MTGP
43,4_3,offline_objective,51.02854707626419,1.0,4,2500,51.02854707626419,0,MTGP
44,4_1,objective,57.57921781200589,1.0,5,10000,57.57921781200589,0,MTGP
45,6_0,offline_objective,50.6564349700188,1.0,6,2500,50.6564349700188,0,MTGP
46,6_1,offline_objective,51.1251773473694,1.0,6,2500,51.1251773473694,0,MTGP
47,6_2,offline_objective,52.217379042998125,1.0,6,2500,52.217379042998125,0,MTGP
48,6_3,offline_objective,48.72872842307494,1.0,6,2500,48.72872842307494,0,MTGP
49,6_0,objective,60.59066506786267,1.0,7,10000,60.59066506786267,0,MTGP
50,8_0,offline_objective,50.72648173630847,1.0,8,2500,50.72648173630847,0,MTGP
51,8_1,offline_objective,44.94030000706761,1.0,8,2500,44.94030000706761,0,MTGP
52,8_2,offline_objective,50.28851009951319,1.0,8,2500,50.28851009951319,0,MTGP
53,8_3,offline_objective,52.93036258224547,1.0,8,2500,52.93036258224547,0,MTGP
54,8_2,objective,55.19348688553204,1.0,9,10000,55.19348688553204,0,MTGP
55,10_0,offline_objective,50.867536952788534,1.0,10,2500,50.867536952788534,0,MTGP
56,10_1,offline_objective,44.20953932792108,1.0,10,2500,44.20953932792108,0,MTGP
57,10_2,offline_objective,57.13684118745253,1.0,10,2500,57.13684118745253,0,MTGP
58,10_3,offline_objective,52.30784548552294,1.0,10,2500,52.30784548552294,0,MTGP
59,10_2,objective,59.80718652683569,1.0,11,10000,59.80718652683569,0,MTGP
60,12_0,offline_objective,37.80286762025301,1.0,12,2500,37.80286762025301,0,MTGP
61,12_1,offline_objective,45.23228051943708,1.0,12,2500,45.23228051943708,0,MTGP
62,12_2,offline_objective,48.98887747663014,1.0,12,2500,48.98887747663014,0,MTGP
63,12_3,offline_objective,50.14491921474233,1.0,12,2500,50.14491921474233,0,MTGP
64,12_2,objective,33.22932124858278,1.0,13,10000,33.22932124858278,0,MTGP
65,14_0,offline_objective,48.43123242029135,1.0,14,2500,48.43123242029135,0,MTGP
66,14_1,offline_objective,43.98363973020222,1.0,14,2500,43.98363973020222,0,MTGP
67,14_2,offline_objective,52.292633816106814,1.0,14,2500,52.292633816106814,0,MTGP
68,14_3,offline_objective,45.48553596434133,1.0,14,2500,45.48553596434133,0,MTGP
69,14_2,objective,65.23546248839156,1.0,15,10000,65.23546248839156,0,MTGP
70,16_0,offline_objective,55.37125706016511,1.0,16,2500,55.37125706016511,0,MTGP
71,16_1,offline_objective,52.811340595275,1.0,16,2500,52.811340595275,0,MTGP
72,16_2,offline_objective,51.160371592583324,1.0,16,2500,51.160371592583324,0,MTGP
73,16_3,offline_objective,45.48269193156041,1.0,16,2500,45.48269193156041,0,MTGP
74,16_2,objective,60.129808067480205,1.0,17,10000,60.129808067480205,0,MTGP
75,18_0,offline_objective,49.53271510467302,1.0,18,2500,49.53271510467302,0,MTGP
76,18_1,offline_objective,50.14909948687975,1.0,18,2500,50.14909948687975,0,MTGP
77,18_2,offline_objective,51.62504823382171,1.0,18,2500,51.62504823382171,0,MTGP
78,18_3,offline_objective,51.677958030132075,1.0,18,2500,51.677958030132075,0,MTGP
79,18_1,objective,60.9799299058774,1.0,19,10000,60.9799299058774,0,MTGP
80,20_0,offline_objective,52.31812185825063,1.0,20,2500,52.31812185825063,0,MTGP
81,20_1,offline_objective,56.811151833470085,1.0,20,2500,56.811151833470085,0,MTGP
82,20_2,offline_objective,51.112167379047975,1.0,20,2500,51.112167379047975,0,MTGP
83,20_3,offline_objective,55.550443818923334,1.0,20,2500,55.550443818923334,0,MTGP
